id,title,year,imdb_id,tmdb_id
1335438,Scary Movie 5,2013,tt0795461,4258
1335437,Scary Movie 4,2006,tt0362120,4257
1318167,Red Eye,2005,tt0421239,11460
1295165,Paranormal Activity 3,2011,tt1778304,72571
1252063,Men in Black,1997,tt0119654,607
1161573,Heat,1995,tt0113277,949
147843,Beowulf,2007,tt0442933,2310
1257214,Mission: Impossible,1996,tt0117060,954
145380,Beautiful Creatures,2013,tt1559547,109491
125804,American Psycho,2000,tt0144084,1359
1144747,Gattaca,1997,tt0119177,782
1482795,Æon Flux,2005,tt0402022,8202
1439255,Transformers: Dark of the Moon,2011,tt1399103,38356
1421902,The Sum of All Fears,2002,tt0164184,4614
1420688,The SpongeBob SquarePants Movie,2004,tt0345950,11836
1406327,The Manchurian Candidate,2004,tt0368008,14462
1257218,Mission: Impossible II,2000,tt0120755,955
1384823,The Core,2003,tt0298814,9341
1351115,Sleepy Hollow,1999,tt0162661,2668
1336403,Scream,1996,tt0117571,4232
1128402,Face/Off,1997,tt0119094,754
187567,Daddy's Home 2,2017,tt5657846,419680
1140725,From Dusk Till Dawn,1996,tt0116367,755
1675841,Bob Marley: One Love,2024,tt8521778,802219
157540,Boogie Nights,1997,tt0118749,4995
1422547,The Talented Mr. Ripley,1999,tt0134119,1213
1307873,Primal Fear,1996,tt0117381,1592
1295166,Paranormal Activity 4,2012,tt2109184,82990
1295163,Paranormal Activity 2,2010,tt1536044,41436
1268394,Nacho Libre,2006,tt0457510,9353
123880,Along Came a Spider,2001,tt0164334,2043
123615,Almost Famous,2000,tt0181875,786
1420573,The Spiderwick Chronicles,2008,tt0416236,8204
1356151,"South Park: Bigger, Longer & Uncut",1999,tt0158983,9473
1356695,Spanglish,2004,tt0371246,2539
1242402,Maid in Manhattan,2002,tt0252076,7303
1169960,Hostel: Part II,2007,tt0498353,1691
1336407,Scream 2,1997,tt0120082,4233
178266,Clueless,1995,tt0112697,9603
168374,Case 39,2009,tt0795351,28355
144030,Basic Instinct,1992,tt0103772,402
1437211,Top Gun,1986,tt0092099,744
1434991,To Catch a Thief,1955,tt0048728,381
1426150,The Virgin Suicides,2000,tt0159097,1443
1425227,The Uninvited,2009,tt0815245,14254
1416823,The Ruins,2008,tt0963794,11152
1376090,The Addams Family,1991,tt0101272,2907
1359267,Star Trek: Nemesis,2002,tt0253754,201
1336408,Scream 3,2000,tt0134084,4234
1219131,Labor Day,2013,tt1967545,130150
1174559,I Know What You Did Last Summer,1997,tt0119345,3597
195456,Deep Impact,1998,tt0120647,8656
1620743,Orphan: First Kill,2022,tt11851548,760161
1465525,What Lies Beneath,2000,tt0161081,2655
1390284,The Faculty,1998,tt0133751,9276
174587,Chloe,2010,tt1352824,28211
1430765,Think Like a Man,2012,tt1621045,67660
1408904,The Naked Gun 2½: The Smell of Fear,1991,tt0102510,37137
1140284,Frida,2002,tt0120679,1360
116657,Addams Family Values,1993,tt0106220,2758
1391449,The Firm,1993,tt0106918,37233
