,id,imdb_id,title,primaryTitle,originalTitle,titleType,year,startYear,isAdult,runtimeMinutes,genres,averageRating,numVotes,directors,writers
27,1291905,tt4530422,Overlord,Overlord,Overlord,movie,2018,2018,0,110,"['Action', 'Horror', 'Sci-Fi']",6.6,112410,['nm1170339'],"['nm0712753', 'nm1872664']"
28,1467276,tt2582802,Whiplash,Whiplash,Whiplash,movie,2014,2014,0,106,"['Drama', 'Music']",8.5,1098217,['nm3227090'],['nm3227090']
29,183690,tt8364368,Crawl,Crawl,Crawl,movie,2019,2019,0,87,"['Action', 'Horror', 'Thriller']",6.1,100322,['nm0014960'],"['nm1726531', 'nm1726912']"
30,1299858,tt0837563,Pet Sematary,Pet Sematary,Pet Sematary,movie,2019,2019,0,100,"['Horror', 'Mystery', 'Thriller']",5.7,102775,"['nm1556116', 'nm1552637']","['nm0000175', 'nm0338557', 'nm1161528']"
31,1675416,tt17663992,Scream VI,Scream VI,Scream VI,movie,2023,2023,0,122,"['Horror', 'Mystery', 'Thriller']",6.4,142153,"['nm2366012', 'nm2419470']","['nm0888743', 'nm2361509', 'nm0932078']"
32,1472159,tt0816711,World War Z,World War Z,World War Z,movie,2013,2013,0,116,"['Action', 'Adventure', 'Horror']",7.0,763357,['nm0286975'],"['nm1996352', 'nm1206844', 'nm0511541', 'nm0833089', 'nm0112150']"
33,1274714,tt2872718,Nightcrawler,Nightcrawler,Nightcrawler,movie,2014,2014,0,117,"['Crime', 'Drama', 'Thriller']",7.8,647419,['nm0319659'],['nm0319659']
34,1257216,tt1229238,Mission: Impossible - Ghost Protocol,Mission: Impossible - Ghost Protocol,Mission: Impossible - Ghost Protocol,movie,2011,2011,0,132,"['Action', 'Adventure', 'Thriller']",7.4,555906,['nm0083348'],"['nm0312367', 'nm0032227', 'nm0625858']"
35,133851,tt2543164,Arrival,Arrival,Arrival,movie,2016,2016,0,116,"['Drama', 'Mystery', 'Sci-Fi']",7.9,832923,['nm0898288'],"['nm2104063', 'nm5384213']"
36,1612693,tt5090568,Transformers: Rise of the Beasts,Transformers: Rise of the Beasts,Transformers: Rise of the Beasts,movie,2023,2023,0,127,"['Action', 'Adventure', 'Sci-Fi']",6.0,126120,['nm4023702'],"['nm1703612', 'nm10258983', 'nm8352716', 'nm0388375', 'nm0388377']"
37,1439254,tt2109248,Transformers: Age of Extinction,Transformers: Age of Extinction,Transformers: Age of Extinction,movie,2014,2014,0,165,"['Action', 'Adventure', 'Comedy']",5.6,343816,['nm0000881'],['nm0472567']
38,1391557,tt6133466,The First Purge,The First Purge,The First Purge,movie,2018,2018,0,97,"['Action', 'Horror', 'Sci-Fi']",5.2,76262,['nm2618764'],['nm0218621']
39,1365314,tt1650062,Super 8,Super 8,Super 8,movie,2011,2011,0,112,"['Action', 'Sci-Fi', 'Thriller']",7.0,376329,['nm0009190'],['nm0009190']
40,1359266,tt1408101,Star Trek Into Darkness,Star Trek Into Darkness,Star Trek Into Darkness,movie,2013,2013,0,132,"['Action', 'Adventure', 'Sci-Fi']",7.7,506055,['nm0009190'],"['nm0649460', 'nm0476064', 'nm0511541', 'nm0734472']"
41,1257217,tt2381249,Mission: Impossible - Rogue Nation,Mission: Impossible - Rogue Nation,Mission: Impossible - Rogue Nation,movie,2015,2015,0,131,"['Action', 'Adventure', 'Thriller']",7.4,437146,['nm0003160'],"['nm0312367', 'nm0003160', 'nm1510800']"
42,1252064,tt1409024,Men in Black 3,Men in Black³,Men in Black³,movie,2012,2012,0,106,"['Action', 'Adventure', 'Comedy']",6.8,404229,['nm0001756'],"['nm1000113', 'nm0192384']"
43,1188727,tt0790724,Jack Reacher,Jack Reacher,Jack Reacher,movie,2012,2012,0,130,"['Action', 'Thriller']",7.0,383217,['nm0003160'],"['nm1676193', 'nm0003160']"
44,1479577,tt1790885,Zero Dark Thirty,Zero Dark Thirty,Zero Dark Thirty,movie,2012,2012,0,157,"['Drama', 'History', 'Thriller']",7.4,333658,['nm0000941'],['nm1676793']
45,1374081,tt1340138,Terminator Genisys,Terminator Genisys,Terminator Genisys,movie,2015,2015,0,126,"['Action', 'Adventure', 'Sci-Fi']",6.3,302580,['nm0851930'],"['nm0436164', 'nm0527261', 'nm0000116', 'nm0005036']"
46,1196005,tt1564367,Just Go with It,Just Go with It,Just Go with It,movie,2011,2011,0,117,"['Comedy', 'Romance']",6.4,282109,['nm0240797'],"['nm1615610', 'nm0000251', 'nm0224634', 'nm0123242', 'nm0054667', 'nm0344899']"
47,1172027,tt0970179,Hugo,Hugo,Hugo,movie,2011,2011,0,126,"['Adventure', 'Drama', 'Family']",7.5,345125,['nm0000217'],"['nm0517589', 'nm2561765']"
48,1558773,tt6079516,I See You,I See You,I See You,movie,2019,2019,0,98,"['Horror', 'Mystery', 'Thriller']",6.8,72853,['nm1726691'],['nm1984458']
49,1372768,tt1291150,Teenage Mutant Ninja Turtles,Teenage Mutant Ninja Turtles,Teenage Mutant Ninja Turtles,movie,2014,2014,0,101,"['Action', 'Adventure', 'Comedy']",5.8,226752,['nm0509448'],"['nm0032227', 'nm0625858', 'nm2489193', 'nm0481990', 'nm0247653']"
50,1346477,tt1130884,Shutter Island,Shutter Island,Shutter Island,movie,2010,2010,0,138,"['Drama', 'Mystery', 'Thriller']",8.2,1578992,['nm0000217'],"['nm0436164', 'nm1212331']"
51,1340523,tt1931533,Seven Psychopaths,Seven Psychopaths,Seven Psychopaths,movie,2012,2012,0,110,"['Comedy', 'Crime']",7.1,283592,['nm1732981'],['nm1732981']
52,1276287,tt0477348,No Country for Old Men,No Country for Old Men,No Country for Old Men,movie,2007,2007,0,122,"['Crime', 'Drama', 'Thriller']",8.2,1145518,"['nm0001053', 'nm0001054']","['nm0001054', 'nm0001053', 'nm0565092']"
53,1229054,tt5442430,Life,Life,Life,movie,2017,2017,0,104,"['Horror', 'Sci-Fi', 'Thriller']",6.6,270985,['nm1174251'],"['nm1014201', 'nm1116660']"
54,1158270,tt1428538,Hansel & Gretel: Witch Hunters,Hansel & Gretel: Witch Hunters,Hansel & Gretel: Witch Hunters,movie,2013,2013,0,88,"['Action', 'Fantasy', 'Horror']",6.1,223884,['nm2482088'],"['nm2482088', 'nm0342278', 'nm0342303']"
