id,title,year,imdb_id,tmdb_id,tmdb_type,type
1372768,Teenage Mutant Ninja Turtles,2014,tt1291150,98566,movie,movie
1346477,Shutter Island,2010,tt1130884,11324,movie,movie
1340523,Seven Psychopaths,2012,tt1931533,86838,movie,movie
1276287,No Country for Old Men,2007,tt0477348,6977,movie,movie
1229054,Life,2017,tt5442430,395992,movie,movie
1158270,Hansel & Gretel: Witch Hunters,2013,tt1428538,60304,movie,movie
1608899,Jackass Forever,2022,tt11466222,656663,movie,movie
1593270,IF,2024,tt11152168,639720,movie,movie
1480541,Zodiac,2007,tt0443706,1949,movie,movie
1461996,War of the Worlds,2005,tt0407304,74,movie,movie
1441124,Tropic Thunder,2008,tt0942385,7446,movie,movie
1439257,Transformers: The Last Knight,2017,tt3371366,335988,movie,movie
1428531,The Woman in Black,2012,tt1596365,65086,movie,movie
1406951,The Mechanic,2011,tt0472399,27582,movie,movie
1359256,Star Trek Beyond,2016,tt2660888,188927,movie,movie
1359246,Star Trek,2009,tt0796366,13475,movie,movie
1348450,Sin City,2005,tt0401792,187,movie,movie
1336409,Scream 4,2011,tt1262416,41446,movie,movie
1261298,mother!,2017,tt5109784,381283,movie,movie
1255999,Minority Report,2002,tt0181689,180,movie,movie
1250278,Mean Girls,2004,tt0377092,10625,movie,movie
1153878,Grown Ups 2,2013,tt2191701,109418,movie,movie
1105826,District 9,2009,tt1136608,17654,movie,movie
140772,Bad Teacher,2011,tt1284575,52449,movie,movie
1142939,G.I. Joe: Retaliation,2013,tt1583421,72559,movie,movie
1399501,The Italian Job,2003,tt0317740,9654,movie,movie
1416013,The Ring,2002,tt0298130,565,movie,movie
1367127,Sweeney Todd: The Demon Barber of Fleet Street,2007,tt0408236,13885,movie,movie
1257219,Mission: Impossible III,2006,tt0317919,956,movie,movie
1252065,Men in Black II,2002,tt0120912,608,movie,movie
1162636,Hellboy,2004,tt0167190,1487,movie,movie
1144084,Gangs of New York,2002,tt0217505,3131,movie,movie
179136,Collateral,2004,tt0369339,1538,movie,movie
178157,Cloverfield,2008,tt1060277,7191,movie,movie
128081,Anchorman 2: The Legend Continues,2013,tt1229340,109443,movie,movie
123368,Allied,2016,tt3640424,369885,movie,movie
113468,A.I. Artificial Intelligence,2001,tt0212720,644,movie,movie
1583803,Teenage Mutant Ninja Turtles: Mutant Mayhem,2023,tt8589698,614930,movie,movie
1454103,Vanilla Sky,2001,tt0259711,1903,movie,movie
1439256,Transformers: Revenge of the Fallen,2009,tt1055369,8373,movie,movie
1405145,The Machinist,2004,tt0361862,4553,movie,movie
1399403,The Island,2005,tt0399201,1635,movie,movie
1347616,Silence,2016,tt0490215,68730,movie,movie
1335911,School of Rock,2003,tt0332379,1584,movie,movie
1323952,Road to Perdition,2002,tt0257044,4147,movie,movie
1299264,Perfume: The Story of a Murderer,2006,tt0396171,1427,movie,movie
1153877,Grown Ups,2010,tt1375670,38365,movie,movie
1684218,Jerry & Marge Go Large,2022,tt8323668,843847,movie,movie
1360238,Step Brothers,2008,tt0838283,12133,movie,movie
1295162,Paranormal Activity,2007,tt1179904,23827,movie,movie
1294066,Panic Room,2002,tt0258000,4547,movie,movie
1188732,Jack Ryan: Shadow Recruit,2014,tt1205537,137094,movie,movie
1153235,Green Room,2016,tt4062536,313922,movie,movie
1150965,Gone Baby Gone,2007,tt0452623,4771,movie,movie
1105842,Disturbia,2007,tt0486822,8271,movie,movie
187566,Daddy's Home,2015,tt1528854,274167,movie,movie
11420,13 Going on 30,2004,tt0337563,10096,movie,movie
1439251,Transformers,2007,tt0418279,1858,movie,movie
1419899,The Smurfs,2011,tt0472181,41513,movie,movie
1404875,The Lovely Bones,2009,tt0380510,7980,movie,movie
1404304,The Longest Yard,2005,tt0398165,9291,movie,movie
1372772,Teenage Mutant Ninja Turtles: Out of the Shadows,2016,tt3949660,308531,movie,movie
1169953,Hostel,2006,tt0450278,1690,movie,movie
173068,Chicago,2002,tt0299658,1574,movie,movie
13197,30 Days of Night,2007,tt0389722,4513,movie,movie
1310542,Pulp Fiction,1994,tt0110912,680,movie,movie
1151385,Good Will Hunting,1997,tt0119217,489,movie,movie
1391084,The Fighter,2010,tt0964517,45317,movie,movie
1481078,Zoolander,2001,tt0196229,9398,movie,movie
1374079,Terminator 2: Judgment Day,1991,tt0103064,280,movie,movie
1336805,Seabiscuit,2003,tt0329575,4464,movie,movie
1286007,Once Upon a Time in Mexico,2003,tt0285823,1428,movie,movie
1148809,Gladiator,2000,tt0172495,98,movie,movie
1133772,Finding Neverland,2004,tt0308644,866,movie,movie
1132806,Fight Club,1999,tt0137523,550,movie,movie
178972,Cold Mountain,2003,tt0159365,2289,movie,movie
128082,Anchorman: The Legend of Ron Burgundy,2004,tt0357413,8699,movie,movie
1620509,"Confess, Fletch",2022,tt12718300,724665,movie,movie
1381783,The Brothers Grimm,2005,tt0355295,4442,movie,movie
1335438,Scary Movie 5,2013,tt0795461,4258,movie,movie
1335437,Scary Movie 4,2006,tt0362120,4257,movie,movie
1318167,Red Eye,2005,tt0421239,11460,movie,movie
1295165,Paranormal Activity 3,2011,tt1778304,72571,movie,movie
1252063,Men in Black,1997,tt0119654,607,movie,movie
1161573,Heat,1995,tt0113277,949,movie,movie
147843,Beowulf,2007,tt0442933,2310,movie,movie
1257214,Mission: Impossible,1996,tt0117060,954,movie,movie
145380,Beautiful Creatures,2013,tt1559547,109491,movie,movie
125804,American Psycho,2000,tt0144084,1359,movie,movie
1144747,Gattaca,1997,tt0119177,782,movie,movie
1482795,Æon Flux,2005,tt0402022,8202,movie,movie
1439255,Transformers: Dark of the Moon,2011,tt1399103,38356,movie,movie
1421902,The Sum of All Fears,2002,tt0164184,4614,movie,movie
1420688,The SpongeBob SquarePants Movie,2004,tt0345950,11836,movie,movie
1406327,The Manchurian Candidate,2004,tt0368008,14462,movie,movie
1257218,Mission: Impossible II,2000,tt0120755,955,movie,movie
1384823,The Core,2003,tt0298814,9341,movie,movie
1351115,Sleepy Hollow,1999,tt0162661,2668,movie,movie
1336403,Scream,1996,tt0117571,4232,movie,movie
1128402,Face/Off,1997,tt0119094,754,movie,movie
187567,Daddy's Home 2,2017,tt5657846,419680,movie,movie
1140725,From Dusk Till Dawn,1996,tt0116367,755,movie,movie
1675841,Bob Marley: One Love,2024,tt8521778,802219,movie,movie
157540,Boogie Nights,1997,tt0118749,4995,movie,movie
1422547,The Talented Mr. Ripley,1999,tt0134119,1213,movie,movie
1307873,Primal Fear,1996,tt0117381,1592,movie,movie
1295166,Paranormal Activity 4,2012,tt2109184,82990,movie,movie
1295163,Paranormal Activity 2,2010,tt1536044,41436,movie,movie
1268394,Nacho Libre,2006,tt0457510,9353,movie,movie
123880,Along Came a Spider,2001,tt0164334,2043,movie,movie
123615,Almost Famous,2000,tt0181875,786,movie,movie
1420573,The Spiderwick Chronicles,2008,tt0416236,8204,movie,movie
1356151,"South Park: Bigger, Longer & Uncut",1999,tt0158983,9473,movie,movie
1356695,Spanglish,2004,tt0371246,2539,movie,movie
1242402,Maid in Manhattan,2002,tt0252076,7303,movie,movie
1169960,Hostel: Part II,2007,tt0498353,1691,movie,movie
1336407,Scream 2,1997,tt0120082,4233,movie,movie
178266,Clueless,1995,tt0112697,9603,movie,movie
168374,Case 39,2009,tt0795351,28355,movie,movie
144030,Basic Instinct,1992,tt0103772,402,movie,movie
1437211,Top Gun,1986,tt0092099,744,movie,movie
1434991,To Catch a Thief,1955,tt0048728,381,movie,movie
1426150,The Virgin Suicides,2000,tt0159097,1443,movie,movie
1425227,The Uninvited,2009,tt0815245,14254,movie,movie
1416823,The Ruins,2008,tt0963794,11152,movie,movie
1376090,The Addams Family,1991,tt0101272,2907,movie,movie
1359267,Star Trek: Nemesis,2002,tt0253754,201,movie,movie
1336408,Scream 3,2000,tt0134084,4234,movie,movie
1219131,Labor Day,2013,tt1967545,130150,movie,movie
1174559,I Know What You Did Last Summer,1997,tt0119345,3597,movie,movie
195456,Deep Impact,1998,tt0120647,8656,movie,movie
1620743,Orphan: First Kill,2022,tt11851548,760161,movie,movie
1465525,What Lies Beneath,2000,tt0161081,2655,movie,movie
1390284,The Faculty,1998,tt0133751,9276,movie,movie
174587,Chloe,2010,tt1352824,28211,movie,movie
1430765,Think Like a Man,2012,tt1621045,67660,movie,movie
1408904,The Naked Gun 2½: The Smell of Fear,1991,tt0102510,37137,movie,movie
